QoS_Target,Users,Agent,Final_Reward,Avg_Memory,Avg_Latency,Avg_QoS,Avg_Denoise_Steps
25.0,10,gaussian_ppo,282.4449278898019,4.096492496885062,1.4595221534067502,14.405849674691042,11.2
25.0,10,gaussian_a2c,587.4356715097622,2.798084618523283,0.9589412563286092,11.93600596135301,5.605999999999999
25.0,10,gaussian_dql,540.2308785266481,1.5545720399156377,0.5266775126534631,4.706891279435118,5.26
25.0,10,a2c_diffusion,443.71394850172385,3.3129459631150877,1.1660707989479837,12.769391419706727,7.614000000000001
25.0,10,bc_diffusion,452.92963644928443,2.635066882990533,0.9412731023137277,9.937029021269927,6.287999999999999
25.0,10,ql_diffusion,489.94996821447904,2.9568433116035338,1.0293800563269395,11.182587991237542,7.175999999999999
30.0,10,gaussian_ppo,593.6169633068574,2.3315594907890005,0.8013242424115574,9.04927688722269,5.668000000000001
30.0,10,gaussian_a2c,661.5585151865525,3.003081922934868,1.0372660080309475,14.239293734745338,4.3
30.0,10,gaussian_dql,632.9792070671703,2.2437190983734467,0.7988375449865933,9.240464764636128,4.646
30.0,10,a2c_diffusion,532.5023548954933,3.4442230601978525,1.212258939729936,13.918412250354027,7.26
30.0,10,bc_diffusion,553.672374887515,2.4827827250076067,0.8758119383715075,9.007535027054912,6.210000000000001
30.0,10,ql_diffusion,567.7694560285955,2.628382175771459,0.9002315989876939,10.33926240323369,5.789999999999999
35.0,10,gaussian_ppo,584.2563911178459,3.4441145768888983,1.1922520189756667,13.542042095445181,8.009999999999998
35.0,10,gaussian_a2c,470.4169771986509,3.140674131965038,1.0993211490288914,10.844437802143277,8.86
35.0,10,gaussian_dql,528.8587684587767,2.725031808224584,0.9188690918115298,9.016884340141303,8.43
35.0,10,a2c_diffusion,630.3835200747369,1.7440763496336333,0.5879585022100832,5.138181450165593,5.842
35.0,10,bc_diffusion,611.3997517459462,2.8396581220711425,0.9896478032794775,10.567712001486063,6.990000000000001
35.0,10,ql_diffusion,548.0754897739994,2.7558317738054314,0.9242948104375942,10.590255812491115,6.660000000000002
